Condition;ID;Time;Survivors
PST4+C;80;16;9
C;81;16;8
C;82;16;9
C;83;16;8
C;84;16;8
C;85;16;8
C;86;16;9
C;87;16;7
C;88;16;9
C;89;16;9
C;90;16;10
ST;91;16;10
ST;92;16;8
ST;93;16;6
ST;94;16;6
ST;95;16;7
ST;96;16;10
ST;97;16;5
ST;98;16;6
ST;99;16;8
ST;100;16;9
PST1;1;18;4
PST1;2;18;10
PST1;3;18;6
PST1;4;18;7
PST1;5;18;8
PST1;6;18;8
PST1;7;18;8
PST1;8;18;10
PST1;9;18;5
PST1;10;18;7
PST2;11;18;9
PST2;12;18;6
PST2;13;18;8
PST2;14;18;8
PST2;15;18;7
PST2;16;18;9
PST2;17;18;7
PST2;18;18;9
PST2;19;18;7
PST2;20;18;6
PST3;21;18;10
PST3;22;18;8
PST3;23;18;6
PST3;24;18;8
PST3;25;18;8
PST3;26;18;8
PST3;27;18;7
PST3;28;18;6
PST3;29;18;7
PST3;30;18;8
PST4;31;18;7
PST4;32;18;9
PST4;33;18;9
PST4;34;18;8
PST4;35;18;9
PST4;36;18;7
PST4;37;18;5
PST4;38;18;2
PST4;39;18;6
PST4;40;18;6
PST1+C;41;18;10
PST1+C;42;18;10
PST1+C;43;18;9
PST1+C;44;18;10
PST1+C;45;18;8
PST1+C;46;18;10
PST1+C;47;18;9
PST1+C;48;18;9
PST1+C;49;18;10
PST1+C;50;18;10
PST2+C;51;18;8
PST2+C;52;18;8
PST2+C;53;18;8
PST2+C;54;18;10
PST2+C;55;18;10
PST2+C;56;18;10
PST2+C;57;18;8
PST2+C;58;18;8
PST2+C;59;18;10
PST2+C;60;18;10
PST3+C;61;18;9
PST3+C;62;18;9
PST3+C;63;18;10
PST3+C;64;18;9
PST3+C;65;18;10
PST3+C;66;18;6
PST3+C;67;18;10
PST3+C;68;18;10
PST3+C;69;18;9
PST3+C;70;18;10
PST4+C;71;18;9
PST4+C;72;18;10
PST4+C;73;18;9
PST4+C;74;18;7
PST4+C;75;18;10
PST4+C;76;18;10
PST4+C;77;18;8
PST4+C;78;18;9
PST4+C;79;18;10
PST4+C;80;18;8
C;81;18;8
C;82;18;9
C;83;18;8
C;84;18;8
C;85;18;8
C;86;18;9
C;87;18;6
C;88;18;8
C;89;18;8
C;90;18;10
ST;91;18;10
ST;92;18;9
ST;93;18;5
ST;94;18;6
ST;95;18;7
ST;96;18;10
ST;97;18;5
ST;98;18;5
ST;99;18;7
ST;100;18;9
PST1;1;21;4
PST1;2;21;10
PST1;3;21;6
PST1;4;21;6
PST1;5;21;8
PST1;6;21;7
PST1;7;21;8
PST1;8;21;8
PST1;9;21;4
PST1;10;21;6
PST2;11;21;6
PST2;12;21;6
PST2;13;21;7
PST2;14;21;6
PST2;15;21;7
PST2;16;21;7
PST2;17;21;7
PST2;18;21;7
PST2;19;21;7
PST2;20;21;5
PST3;21;21;10
PST3;22;21;6
PST3;23;21;6
PST3;24;21;8
PST3;25;21;7
PST3;26;21;7
PST3;27;21;6
PST3;28;21;6
PST3;29;21;7
PST3;30;21;8
PST4;31;21;7
PST4;32;21;7
PST4;33;21;9
PST4;34;21;7
PST4;35;21;9
PST4;36;21;4
PST4;37;21;3
PST4;38;21;1
PST4;39;21;4
PST4;40;21;4
PST1+C;41;21;10
PST1+C;42;21;10
PST1+C;43;21;9
PST1+C;44;21;10
PST1+C;45;21;8
PST1+C;46;21;9
PST1+C;47;21;9
PST1+C;48;21;8
PST1+C;49;21;10
PST1+C;50;21;10
PST2+C;51;21;8
PST2+C;52;21;8
PST2+C;53;21;8
PST2+C;54;21;9
PST2+C;55;21;10
PST2+C;56;21;9
PST2+C;57;21;7
PST2+C;58;21;8
PST2+C;59;21;10
PST2+C;60;21;10
PST3+C;61;21;9
PST3+C;62;21;8
PST3+C;63;21;9
PST3+C;64;21;9
PST3+C;65;21;9
PST3+C;66;21;5
PST3+C;67;21;10
PST3+C;68;21;10
PST3+C;69;21;9
PST3+C;70;21;10
PST4+C;71;21;9
PST4+C;72;21;9
PST4+C;73;21;9
PST4+C;74;21;8
PST4+C;75;21;10
PST4+C;76;21;10
PST4+C;77;21;8
PST4+C;78;21;9
PST4+C;79;21;10
PST4+C;80;21;8
C;81;21;8
C;82;21;9
C;83;21;8
C;84;21;8
C;85;21;7
C;86;21;9
C;87;21;6
C;88;21;8
C;89;21;7
C;90;21;9
ST;91;21;8
ST;92;21;9
ST;93;21;2
ST;94;21;4
ST;95;21;6
ST;96;21;9
ST;97;21;3
ST;98;21;4
