Condition ;ID;Time;Masslarva;MassPS;MLarveIni;MPSIni
PST2;20;7;-0.76;-0.03;;
PST3;21;7;-1.06;0.09;;
PST3;22;7;1.42;0.15;;
PST3;23;7;0.25;0.06;;
PST3;24;7;-0.9;-0.11;;
PST3;25;7;-0.45;0.11;;
PST3;26;7;-0.35;-0.02;;
PST3;27;7;-0.83;0.05;;
PST3;28;7;0.21;0.07;;
PST3;29;7;0.53;0.1;;
PST3;30;7;-0.67;-0.18;;
PST4;31;7;-1.42;-0.04;;
PST4;32;7;-1.7;-1.49;;
PST4;33;7;0.11;-0.6;;
PST4;34;7;-1.2;-1.28;;
PST4;35;7;-2.22;-0.74;;
PST4;36;7;-1.55;-0.57;;
PST4;37;7;-3.39;-3.29;;
PST4;38;7;-1.2;-3.42;;
PST4;39;7;-0.4;-0.87;;
PST4;40;7;-0.74;-0.78;;
PST1+C;41;7;3.58;0.31;;
PST1+C;42;7;5.73;0.28;;
PST1+C;43;7;0.09;0.14;;
PST1+C;44;7;3.47;0.68;;
PST1+C;45;7;-0.9;0.79;;
PST1+C;46;7;0.82;0.4;;
PST1+C;47;7;1.27;0.3;;
PST1+C;48;7;3.22;-0.5;;
PST1+C;49;7;4.77;0.62;;
PST1+C;50;7;5.92;0.4;;
PST2+C;51;7;1.59;0.06;;
PST2+C;52;7;1.79;0.39;;
PST2+C;53;7;1.96;0.86;;
PST2+C;54;7;5.2;0.62;;
PST2+C;55;7;5.53;0.39;;
PST2+C;56;7;3.09;-0.08;;
PST2+C;57;7;-1.29;0.44;;
PST2+C;58;7;2.36;0.59;;
PST2+C;59;7;1.15;0.45;;
PST2+C;60;7;0.13;-0.02;;
PST3+C;61;7;-0.04;0.2;;
PST3+C;62;7;1.96;-0.33;;
PST3+C;63;7;2.45;0.43;;
PST3+C;64;7;0.67;0.27;;
PST3+C;65;7;3.45;0.51;;
PST3+C;66;7;1.29;0.2;;
PST3+C;67;7;3.6;0.8;;
PST3+C;68;7;-1.56;0.39;;
PST3+C;69;7;3.09;0.58;;
PST3+C;70;7;2.77;-0.17;;
PST4+C;71;7;1.37;-0.45;;
PST4+C;72;7;3.24;-0.1;;
PST4+C;73;7;6.03;-0.49;;
PST4+C;74;7;2.74;-0.72;;
PST4+C;75;7;1.56;-0.19;;
PST4+C;76;7;1.98;-2.13;;
PST4+C;77;7;-0.06;0.05;;
PST4+C;78;7;-0.26;-0.25;;
PST4+C;79;7;0.33;0.12;;
PST4+C;80;7;3.26;-1.31;;
C;81;7;2.36;;;
C;82;7;1.74;;;
C;83;7;2.01;;;
C;84;7;2.64;;;
C;85;7;3.4;;;
C;86;7;0.18;;;
C;87;7;6.68;;;
C;88;7;4.44;;;
C;89;7;2.35;;;
C;90;7;4.65;;;
ST;91;7;-1.08;;;
ST;92;7;-1.21;;;
ST;93;7;1.34;;;
ST;94;7;1.7;;;
ST;95;7;-1.92;;;
ST;96;7;-1.37;;;
ST;97;7;-2.24;;;
ST;98;7;-1.75;;;
ST;99;7;-1.52;;;
ST;100;7;0.17;;;
PST1;1;9;-0.67;0.12;;
PST1;2;9;-2.62;-1.23;;
PST1;3;9;-2.18;-0.33;;
PST1;4;9;0.64;-1.08;;
PST1;5;9;-1.73;-0.63;;
PST1;6;9;-0.29;0.05;;
PST1;7;9;-3.68;-1.28;;
PST1;8;9;-1.39;0.03;;
PST1;9;9;0.66;-0.17;;
PST1;10;9;-0.65;-3.74;;
PST2;11;9;-2.53;-1.23;;
PST2;12;9;-1.69;-0.95;;
PST2;13;9;-1.04;-0.01;;
PST2;14;9;-1.22;0.06;;
PST2;15;9;1.08;-0.22;;
PST2;16;9;-1.36;0.06;;
PST2;17;9;-0.89;-0.08;;
PST2;18;9;-1.69;0.1;;
PST2;19;9;-1.57;-0.16;;
PST2;20;9;-1.24;0.03;;
PST3;21;9;-1.47;0.08;;
PST3;22;9;1.07;0.08;;
PST3;23;9;-0.55;0.03;;
PST3;24;9;-1.08;-0.21;;
PST3;25;9;-0.72;0.16;;
PST3;26;9;-0.61;-0.04;;
PST3;27;9;-1.25;-0.03;;
PST3;28;9;-0.33;-0.05;;
PST3;29;9;0.36;0.02;;
PST3;30;9;-1.21;-0.22;;
PST4;31;9;-1.63;0;;
PST4;32;9;-2.22;-1.58;;
PST4;33;9;-0.37;-0.62;;
PST4;34;9;-1;-1.39;;
PST4;35;9;-1.11;-1.2;;
PST4;36;9;-1.93;-0.55;;
PST4;37;9;-3.64;-3.33;;
PST4;38;9;-1.97;-4.15;;
PST4;39;9;-0.6;-0.93;;
PST4;40;9;-1.1;-1.09;;
PST1+C;41;9;5.95;0.13;;
PST1+C;42;9;7.47;0.24;;
PST1+C;43;9;2.08;0.43;;
PST1+C;44;9;4.45;0.77;;
PST1+C;45;9;0.55;0.8;;
PST1+C;46;9;1.28;0.4;;
PST1+C;47;9;0.61;0.16;;
PST1+C;48;9;6.66;-0.38;;
PST1+C;49;9;6.65;0.64;;
PST1+C;50;9;5.87;0.43;;
PST2+C;51;9;5.17;0.18;;
PST2+C;52;9;1.55;0.54;;
PST2+C;53;9;6.8;1.09;;
PST2+C;54;9;5.94;2.39;;
PST2+C;55;9;4.67;0.27;;
PST2+C;56;9;5.01;-0.21;;
PST2+C;57;9;-0.65;0.34;;
PST2+C;58;9;3.77;0.92;;
PST2+C;59;9;1.38;0.41;;
PST2+C;60;9;4.98;-0.13;;
PST3+C;61;9;1.8;0.29;;
PST3+C;62;9;3.54;-1;;
PST3+C;63;9;5.75;0.63;;
PST3+C;64;9;0.98;0.26;;
PST3+C;65;9;3.44;0.57;;
PST3+C;66;9;1.45;0.29;;
PST3+C;67;9;3.79;1.37;;
PST3+C;68;9;-1.01;0.52;;
PST3+C;69;9;4.02;0.46;;
PST3+C;70;9;4.2;0.67;;
PST4+C;71;9;4.17;-1.17;;
PST4+C;72;9;3.14;-0.43;;
PST4+C;73;9;6.43;-0.56;;
PST4+C;74;9;2.14;-0.82;;
PST4+C;75;9;2.1;-0.3;;
PST4+C;76;9;3.28;-2.23;;
PST4+C;77;9;-0.35;0.02;;
PST4+C;78;9;-0.36;-0.41;;
PST4+C;79;9;1.12;0.11;;
PST4+C;80;9;7.11;-1.6;;
C;81;9;2.87;;;
C;82;9;2.41;;;
C;83;9;3.56;;;
C;84;9;4.29;;;
C;85;9;3.26;;;
C;86;9;0.94;;;
C;87;9;5.19;;;
C;88;9;4.34;;;
C;89;9;5.7;;;
C;90;9;4.35;;;
ST;91;9;-1.21;;;
ST;92;9;-1.38;;;
ST;93;9;1.26;;;
ST;94;9;1.26;;;
ST;95;9;-2.08;;;
ST;96;9;-1.45;;;
ST;97;9;-2.43;;;
ST;98;9;-2.09;;;
ST;99;9;-1.58;;;
ST;100;9;0.14;;;
PST1;1;11;-1.05;0.08;;
PST1;2;11;-3.06;-1.25;;
PST1;3;11;-2.53;-0.31;;
PST1;4;11;0.05;-1.54;;
PST1;5;11;-2.49;-0.51;;
PST1;6;11;-0.66;0.04;;
PST1;7;11;-4.2;-1.32;;
PST1;8;11;-1.88;0.03;;
PST1;9;11;0.39;-0.21;;
PST1;10;11;-1.29;-3.92;;
PST2;11;11;-3.23;-1.28;;
PST2;12;11;-2.08;-0.9;;
PST2;13;11;-1.52;0.03;;
PST2;14;11;-1.66;0;;
PST2;15;11;0.02;-0.32;;
PST2;16;11;-1.71;-0.03;;
PST2;17;11;-1.22;0.01;;
PST2;18;11;-1.97;0.14;;
PST2;19;11;-1.93;-0.15;;
PST2;20;11;-1.69;0;;
PST3;21;11;-1.92;-0.01;;
PST3;22;11;0.72;0.08;;
PST3;23;11;-1.23;-0.1;;
PST3;24;11;-1.54;-0.24;;
PST3;25;11;-1.07;0.12;;
PST3;26;11;-0.85;-0.04;;
PST3;27;11;-1.69;-0.02;;
PST3;28;11;-0.88;0;;
PST3;29;11;0.06;0.04;;
PST3;30;11;-1.78;-0.34;;
PST4;31;11;-1.94;-0.02;;
PST4;32;11;-2.62;-1.72;;
PST4;33;11;-0.89;-0.82;;
PST4;34;11;-1.4;-1.72;;
PST4;35;11;-1.54;-1.29;;
PST4;36;11;-2.31;-0.59;;
PST4;37;11;-4.61;-3.34;;
PST4;38;11;-2.66;-4.18;;
PST4;39;11;-1.02;-1;;
PST4;40;11;-1.51;-1.25;;
PST1+C;41;11;6.94;0.07;;
PST1+C;42;11;6.97;0.15;;
PST1+C;43;11;5.61;0.65;;
PST1+C;44;11;4.47;0.96;;
PST1+C;45;11;3.53;0.94;;
PST1+C;46;11;1.37;0.45;;
PST1+C;47;11;1.91;0.31;;
PST1+C;48;11;8.33;-0.43;;
PST1+C;49;11;6.13;0.53;;
PST1+C;50;11;4.95;0.43;;
PST2+C;51;11;6.5;0.18;;
PST2+C;52;11;1.07;0.56;;
PST2+C;53;11;6.11;1.05;;
PST2+C;54;11;5.27;1.95;;
PST2+C;55;11;4.64;0.47;;
PST2+C;56;11;5.44;-0.51;;
PST2+C;57;11;-1.62;0.3;;
PST2+C;58;11;3.72;1.22;;
PST2+C;59;11;1.2;0.34;;
PST2+C;60;11;7.31;0.85;;
PST3+C;61;11;1.95;0.49;;
PST3+C;62;11;5.77;-0.77;;
PST3+C;63;11;6.96;0.83;;
PST3+C;64;11;0.8;0.27;;
PST3+C;65;11;3.79;0.64;;
PST3+C;66;11;1.16;0.21;;
PST3+C;67;11;3.85;0.95;;
PST3+C;68;11;-1.6;0.53;;
PST3+C;69;11;3.36;0.54;;
PST3+C;70;11;4.59;0.65;;
PST4+C;71;11;4.26;-1.37;;
PST4+C;72;11;2.91;-0.58;;
PST4+C;73;11;6.23;-0.65;;
PST4+C;74;11;1.75;-0.8;;
PST4+C;75;11;2.23;-0.29;;
PST4+C;76;11;3.1;-2.26;;
PST4+C;77;11;-0.64;0;;
PST4+C;78;11;2.22;-0.64;;
PST4+C;79;11;1.28;-0.17;;
PST4+C;80;11;7.43;-2.15;;
C;81;11;4.15;;;
C;82;11;2.92;;;
C;83;11;3.77;;;
C;84;11;4.01;;;
C;85;11;2.25;;;
C;86;11;1.53;;;
C;87;11;6.89;;;
C;88;11;4.92;;;
C;89;11;7.07;;;
C;90;11;3.34;;;
ST;91;11;-1.34;;;
ST;92;11;-1.61;;;
ST;93;11;0.86;;;
ST;94;11;0.87;;;
ST;95;11;-2.27;;;
ST;96;11;-1.42;;;
ST;97;11;-2.63;;;
ST;98;11;-2.46;;;
ST;99;11;-1.86;;;
ST;100;11;0.15;;;
PST1;1;14;-1.76;-0.49;;
PST1;2;14;-3.69;-1.49;;
PST1;3;14;-3.23;-0.99;;
PST1;4;14;-0.73;-1.83;;
PST1;5;14;-3.52;-1.02;;
PST1;6;14;-1.11;-0.07;;
PST1;7;14;-5.26;-1.51;;
PST1;8;14;-2.63;-0.38;;
PST1;9;14;-0.14;-0.4;;
PST1;10;14;-2.28;-4.29;;
PST2;11;14;-4.25;-1.37;;
PST2;12;14;-2.91;-0.98;;
PST2;13;14;-2.16;-0.05;;
PST2;14;14;-2.37;0.03;;
PST2;15;14;-1.04;-0.8;;
PST2;16;14;-2.3;-0.04;;
PST2;17;14;-1.62;-0.15;;
PST2;18;14;-2.33;0.09;;
PST2;19;14;-2.4;-0.21;;
PST2;20;14;-2.31;-0.25;;
PST3;21;14;-2.72;-0.14;;
PST3;22;14;0.18;-0.12;;
PST3;23;14;-2.18;-0.35;;
PST3;24;14;-2.12;-0.34;;
PST3;25;14;-1.57;0.03;;
PST3;26;14;-1.21;-0.18;;
PST3;27;14;-2.4;-0.17;;
PST3;28;14;-1.56;-0.24;;
PST3;29;14;-0.41;-0.35;;
PST3;30;14;-2.49;-0.55;;
PST4;31;14;-2.37;-0.06;;
