Condition ;ID;Time;MassAdult;MassPS;MadultIni;MPSIni
PST1+C;50;7;2.98;0.22;;
PST2+C;51;7;2.37;-0.02;;
PST2+C;52;7;1.81;-0.33;;
PST2+C;53;7;-0.62;-1.96;;
PST2+C;54;7;-1.09;0.27;;
PST2+C;55;7;3.47;0.18;;
PST2+C;56;7;2.26;0.36;;
PST2+C;57;7;1.42;0.04;;
PST2+C;58;7;3.17;-0.6;;
PST2+C;59;7;1.32;-0.17;;
PST2+C;60;7;2.96;-0.36;;
PST3+C;61;7;2.9;-0.44;;
PST3+C;62;7;0.21;-0.4;;
PST3+C;63;7;3.16;0.24;;
PST3+C;64;7;4.57;0.27;;
PST3+C;65;7;3;0.25;;
PST3+C;66;7;0.3;0.15;;
PST3+C;67;7;-2.22;0.27;;
PST3+C;68;7;0.77;0.34;;
PST3+C;69;7;3;0.43;;
PST3+C;70;7;1.39;0.28;;
PST4+C;71;7;0.28;0.16;;
PST4+C;72;7;-0.03;-5.53;;
PST4+C;73;7;1.88;-1.32;;
PST4+C;74;7;0.88;-0.58;;
PST4+C;75;7;1.23;-0.26;;
PST4+C;76;7;2.36;-0.22;;
PST4+C;77;7;0.59;-0.87;;
PST4+C;78;7;1.36;-0.15;;
PST4+C;79;7;2.36;-0.43;;
PST4+C;80;7;-1.93;0.15;;
C;81;7;0.67;;;
C;82;7;2.54;;;
C;83;7;0.88;;;
C;84;7;-0.67;;;
C;85;7;2.89;;;
C;86;7;5.56;;;
C;87;7;2.21;;;
C;88;7;0.79;;;
C;89;7;3.66;;;
C;90;7;1.55;;;
ST;91;7;-2.64;;;
ST;92;7;-2.79;;;
ST;93;7;-0.82;;;
ST;94;7;-2.12;;;
ST;95;7;0.19;;;
ST;96;7;-2.39;;;
ST;97;7;-2.83;;;
ST;98;7;-3.12;;;
ST;99;7;-2.61;;;
ST;100;7;-3.65;;;
PST1;1;9;2.2;-0.15;;
PST1;2;9;-2.83;-0.05;;
PST1;3;9;-2.9;-0.37;;
PST1;4;9;0.26;-0.69;;
PST1;5;9;-1.5;-6.7;;
PST1;6;9;-2.33;-0.2;;
PST1;7;9;0.04;-0.88;;
PST1;8;9;-0.54;-1.86;;
PST1;9;9;-2.14;-0.19;;
PST1;10;9;-2.21;-1.52;;
PST2;11;9;-3.74;-0.84;;
PST2;12;9;-0.41;-0.65;;
PST2;13;9;0.77;-0.64;;
PST2;14;9;-0.15;-2.03;;
PST2;15;9;0.42;-0.89;;
PST2;16;9;-0.62;-0.1;;
PST2;17;9;-0.58;-0.21;;
PST2;18;9;-1.23;-0.12;;
PST2;19;9;-2.03;-0.93;;
PST2;20;9;0.36;-2.4;;
PST3;21;9;1.44;-0.28;;
PST3;22;9;-2.15;-0.15;;
PST3;23;9;0.61;-0.15;;
PST3;24;9;1.8;-2.8;;
PST3;25;9;-0.77;-0.22;;
PST3;26;9;1.04;-0.24;;
PST3;27;9;4.44;-0.18;;
PST3;28;9;1.06;-0.3;;
PST3;29;9;1.64;-0.2;;
PST3;30;9;-0.15;-0.15;;
PST4;31;9;-2.69;0.04;;
PST4;32;9;-0.09;-6.2;;
PST4;33;9;-0.39;-1.13;;
PST4;34;9;-0.01;-0.22;;
PST4;35;9;1.3;-5.35;;
PST4;36;9;0.72;-0.14;;
PST4;37;9;-1.34;0.02;;
PST4;38;9;-0.42;-0.63;;
PST4;39;9;-1.63;-6.7;;
PST4;40;9;-0.09;-4.8;;
PST1+C;41;9;1.95;0.06;;
PST1+C;42;9;3.45;-0.07;;
PST1+C;43;9;1.79;-0.19;;
PST1+C;44;9;;;;
PST1+C;45;9;2.53;0.19;;
PST1+C;46;9;4.89;0.08;;
PST1+C;47;9;-1.76;-0.47;;
PST1+C;48;9;3.49;-0.76;;
PST1+C;49;9;2.95;-0.16;;
PST1+C;50;9;3.18;0.29;;
PST2+C;51;9;1.73;0.54;;
PST2+C;52;9;2.36;0.08;;
PST2+C;53;9;2.36;-1.85;;
PST2+C;54;9;1.48;0.08;;
PST2+C;55;9;2.8;0.26;;
PST2+C;56;9;2.67;0.52;;
PST2+C;57;9;1.35;0.15;;
PST2+C;58;9;2.91;-0.36;;
PST2+C;59;9;1.81;-0.24;;
PST2+C;60;9;2.65;-0.66;;
PST3+C;61;9;2.92;-0.31;;
PST3+C;62;9;-0.53;-0.89;;
PST3+C;63;9;3.37;0.27;;
PST3+C;64;9;5.15;0.37;;
PST3+C;65;9;2.49;0.33;;
PST3+C;66;9;1.34;3.25;;
PST3+C;67;9;-3.13;0.31;;
PST3+C;68;9;1.27;0.41;;
PST3+C;69;9;3.59;0.55;;
PST3+C;70;9;1.42;0.34;;
PST4+C;71;9;-0.49;-0.06;;
PST4+C;72;9;-0.84;-6.12;;
PST4+C;73;9;2.47;-1.4;;
PST4+C;74;9;1.06;-0.59;;
PST4+C;75;9;0.81;-0.26;;
PST4+C;76;9;3.7;-0.45;;
PST4+C;77;9;0.36;-0.9;;
PST4+C;78;9;2.34;-0.62;;
PST4+C;79;9;2.14;-0.68;;
PST4+C;80;9;-1.83;0.15;;
C;81;9;-0.14;;;
C;82;9;1.31;;;
C;83;9;0.9;;;
C;84;9;-1.01;;;
C;85;9;2.7;;;
C;86;9;5.02;;;
C;87;9;3.52;;;
C;88;9;1.79;;;
C;89;9;3.5;;;
C;90;9;0.81;;;
ST;91;9;-3.39;;;
ST;92;9;-3.35;;;
ST;93;9;-1.44;;;
ST;94;9;-2.64;;;
ST;95;9;-0.37;;;
ST;96;9;-2.99;;;
ST;97;9;-3.52;;;
ST;98;9;-3.67;;;
ST;99;9;-2.21;;;
ST;100;9;-1.99;;;
PST1;1;11;1.65;-0.34;;
PST1;2;11;-3.37;-0.14;;
PST1;3;11;-2.62;-0.35;;
PST1;4;11;-0.3;-0.75;;
PST1;5;11;-1.24;-8.8;;
PST1;6;11;-2.91;-0.32;;
PST1;7;11;-0.53;-1.1;;
PST1;8;11;-0.67;-2.24;;
PST1;9;11;-0.44;-0.33;;
PST1;10;11;-2.24;-1.56;;
PST2;11;11;-3.22;-1.63;;
PST2;12;11;-0.18;-0.71;;
PST2;13;11;1.44;-0.81;;
PST2;14;11;-0.84;-2.23;;
PST2;15;11;-0.29;-0.7;;
PST2;16;11;-1.09;-0.26;;
PST2;17;11;-0.11;-0.29;;
PST2;18;11;-1.09;-0.22;;
PST2;19;11;-0.86;-1.15;;
PST2;20;11;-0.15;-2.34;;
PST3;21;11;1.19;-0.37;;
PST3;22;11;0.79;-0.23;;
PST3;23;11;0.16;-0.22;;
PST3;24;11;1.37;-2.9;;
PST3;25;11;-0.1;-0.29;;
PST3;26;11;1.09;-0.32;;
PST3;27;11;4.06;-0.23;;
PST3;28;11;1;-0.35;;
PST3;29;11;1.09;-0.25;;
PST3;30;11;-0.59;-0.2;;
PST4;31;11;-1.75;-0.21;;
PST4;32;11;-0.73;-8.64;;
PST4;33;11;-0.61;-1.22;;
PST4;34;11;0.36;-1.4;;
PST4;35;11;0.97;-6.28;;
PST4;36;11;0.26;-0.15;;
PST4;37;11;-0.12;-0.05;;
PST4;38;11;-1.13;-0.75;;
PST4;39;11;-2.27;-6.61;;
PST4;40;11;-0.98;-4.8;;
PST1+C;41;11;2.84;0.04;;
PST1+C;42;11;3.21;-1.09;;
PST1+C;43;11;2.23;-0.7;;
PST1+C;44;11;;;;
PST1+C;45;11;2.65;0.03;;
PST1+C;46;11;4.57;-0.17;;
PST1+C;47;11;0.64;-0.56;;
PST1+C;48;11;2.41;-1.25;;
PST1+C;49;11;3.27;-0.11;;
PST1+C;50;11;3.65;0.25;;
PST2+C;51;11;1.57;0;;
PST2+C;52;11;1.65;-0.24;;
PST2+C;53;11;3;-2.24;;
PST2+C;54;11;0.93;-0.07;;
PST2+C;55;11;2.58;0.24;;
PST2+C;56;11;2.84;0.62;;
PST2+C;57;11;1.24;0.07;;
PST2+C;58;11;2.86;-0.41;;
PST2+C;59;11;0.58;-0.23;;
PST2+C;60;11;2.49;-0.73;;
PST3+C;61;11;2.71;-0.15;;
PST3+C;62;11;-0.05;-1.05;;
PST3+C;63;11;3.63;0.31;;
PST3+C;64;11;4.35;0.24;;
PST3+C;65;11;2.86;0.11;;
PST3+C;66;11;0.97;0.2;;
PST3+C;67;11;;;;
PST3+C;68;11;1.09;0.39;;
PST3+C;69;11;3.93;0.6;;
PST3+C;70;11;1.65;0.34;;
PST4+C;71;11;1.19;-0.07;;
PST4+C;72;11;-0.36;-8.57;;
PST4+C;73;11;2.38;-1.58;;
PST4+C;74;11;0.72;-0.85;;
PST4+C;75;11;1.13;-0.46;;
PST4+C;76;11;3.75;-0.38;;
PST4+C;77;11;1.71;-1.04;;
PST4+C;78;11;2.03;-0.72;;
PST4+C;79;11;2.01;-0.83;;
PST4+C;80;11;0.35;0.1;;
C;81;11;-0.51;;;
C;82;11;2.51;;;
C;83;11;0.97;;;
C;84;11;-1.02;;;
C;85;11;2.6;;;
C;86;11;4.76;;;
C;87;11;3.14;;;
C;88;11;1.25;;;
C;89;11;4.51;;;
C;90;11;0.81;;;
ST;91;11;-2.13;;;
ST;92;11;-2.19;;;
ST;93;11;-1.96;;;
ST;94;11;-3.07;;;
ST;95;11;-0.79;;;
ST;96;11;-0.52;;;
ST;97;11;-1.91;;;
ST;98;11;-4.07;;;
ST;99;11;-2.61;;;
ST;100;11;-2.45;;;
PST1;1;14;0.69;-0.37;;
PST1;2;14;-4.2;-0.22;;
PST1;3;14;-3.56;-0.54;;
PST1;4;14;-1.3;-0.87;;
PST1;5;14;0.79;-9.84;;
PST1;6;14;-3.28;-0.36;;
PST1;7;14;-1.37;-1.15;;
PST1;8;14;-1.04;-2.36;;
PST1;9;14;-1.37;-0.45;;
PST1;10;14;-3.23;-1.85;;
PST2;11;14;-4.43;-1.43;;
PST2;12;14;-1.09;-0.73;;
PST2;13;14;0.23;-0.88;;
PST2;14;14;-1.84;-1.93;;
PST2;15;14;-0.42;-0.86;;
PST2;16;14;-1.81;-0.31;;
PST2;17;14;-0.84;-0.38;;
PST2;18;14;-1.87;-0.26;;
PST2;19;14;-2.23;-1.18;;
PST2;20;14;-0.95;-2.72;;
PST3;21;14;0.98;-0.44;;
PST3;22;14;-0.11;-0.31;;
PST3;23;14;-0.03;-0.29;;
PST3;24;14;0.39;-3.05;;
PST3;25;14;0.11;-0.36;;
PST3;26;14;-0.58;-0.37;;
PST3;27;14;2.44;-0.24;;
PST3;28;14;0.65;-0.38;;
PST3;29;14;0.15;-0.23;;
PST3;30;14;-1.26;-0.31;;
PST4;31;14;-2.63;-0.23;;
PST4;32;14;-1.66;-9.68;;
PST4;33;14;-0.78;-1.32;;
PST4;34;14;-0.56;-2.22;;
PST4;35;14;0.77;-6.29;;
PST4;36;14;-0.57;-0.14;;
PST4;37;14;-0.26;0.05;;
PST4;38;14;-2.36;-0.68;;
PST4;39;14;-3.33;-6.99;;
PST4;40;14;-2.24;-5.05;;
PST1+C;41;14;2.87;0.01;;
PST1+C;42;14;3.26;-1.12;;
PST1+C;43;14;2;-0.59;;
PST1+C;44;14;;;;
PST1+C;45;14;3.12;-0.13;;
PST1+C;46;14;3.61;-0.34;;
PST1+C;47;14;-0.17;-0.39;;
PST1+C;48;14;0.98;-1.33;;
PST1+C;49;14;3.22;-0.13;;
PST1+C;50;14;2.96;0.04;;
PST2+C;51;14;2;0.33;;
PST2+C;52;14;1.32;-0.14;;
PST2+C;53;14;1.37;-2.74;;
PST2+C;54;14;-0.15;-0.15;;
PST2+C;55;14;2.24;0.19;;
PST2+C;56;14;2.25;0.5;;
PST2+C;57;14;1.32;0.34;;
PST2+C;58;14;1.7;-0.53;;
PST2+C;59;14;-0.14;-0.32;;
PST2+C;60;14;2.57;-0.96;;
PST3+C;61;14;1.99;-0.17;;
PST3+C;62;14;2.48;-1.04;;
PST3+C;63;14;3.14;-0.03;;
PST3+C;64;14;4.47;0.25;;
PST3+C;65;14;1.78;0.04;;
PST3+C;66;14;1;0.14;;
PST3+C;67;14;;;;
PST3+C;68;14;0.74;0.34;;
PST3+C;69;14;3.06;0.45;;
PST3+C;70;14;1.06;0.3;;
PST4+C;71;14;0.39;-0.04;;
PST4+C;72;14;-0.22;-9.07;;
PST4+C;73;14;1.18;-1.99;;
PST4+C;74;14;0.13;-0.93;;
PST4+C;75;14;0.54;-0.42;;
PST4+C;76;14;2.83;-0.49;;
PST4+C;77;14;0.92;-1;;
PST4+C;78;14;2.57;-0.74;;
PST4+C;79;14;-0.12;-0.58;;
PST4+C;80;14;0.57;0.11;;
C;81;14;-0.17;;;
C;82;14;1.61;;;
C;83;14;0.03;;;
C;84;14;-1.9;;;
C;85;14;-0.75;;;
C;86;14;2.58;;;
C;87;14;3.9;;;
C;88;14;0.34;;;
C;89;14;4.11;;;
C;90;14;1.59;;;
ST;91;14;-3.34;;;
ST;92;14;-2.93;;;
ST;93;14;-2.82;;;
ST;94;14;-3.75;;;
ST;95;14;-0.3;;;
ST;96;14;-0.33;;;
ST;97;14;-2.83;;;
ST;98;14;-4.84;;;
ST;99;14;-3.91;;;
