Condition;Replicas;Time;Mass;DoGlc;DoProt;DoTAG_PBST;DoTAG_RT
PST1+C;2;21;57;0.0959;0.7589;0.4153;1.247
PST1+C;3;21;66;0.3104;0.9068;0.5883;1.4263
PST1+C;4;21;58.2;0.1436;0.8005;0.3129;1.1767
PST1+C;5;21;43;0.2709;0.6045;0.1013;0.6384
PST1+C;6;21;51;0.0897;0.8251;0.3205;1.1069
PST1+C;7;21;74.4;0.1082;0.9644;0.4562;1.3546
PST1+C;8;21;60.7;0.0992;0.8804;0.5496;1.1558
PST2+C;1;21;48.5;0.1083;0.7338;0.4369;1.1112
PST2+C;2;21;48.9;0.0904;0.8673;0.3007;1.2645
PST2+C;3;21;51.8;0.1999;0.8314;0.2571;1.0337
PST2+C;4;21;45.1;0.0902;0.7904;0.3388;1.2357
PST2+C;5;21;47.3;0.2219;0.7685;0.241;1.1892
PST2+C;6;21;51.7;0.0986;0.8009;0.4342;1.0965
PST2+C;7;21;61.8;0.1072;0.9581;0.3388;1.1927
PST2+C;8;21;53.5;0.0979;0.8509;0.5092;1.2226
PST3+C;1;21;32;0.1776;0.6535;0.0907;0.4646
PST3+C;2;21;46.8;0.1113;0.7515;0.2929;0.9649
PST3+C;3;21;54.3;0.0882;0.8779;0.3713;1.0768
PST3+C;4;21;42.1;0.2626;0.6926;0.1778;0.7966
PST3+C;5;21;59.7;0.1419;1.0154;0.3522;1.2834
PST3+C;6;21;50.1;0.2332;0.9169;0.2061;1.0644
PST3+C;7;21;46.6;0.1262;0.7599;0.1679;0.8927
PST3+C;8;21;54;0.1772;0.9394;0.2882;1.2654
PST4+C;1;21;39.6;0.1937;0.553;0.1683;0.6987
PST4+C;2;21;69;0.1178;0.939;0.4949;1.2803
PST4+C;3;21;57.4;0.1392;0.9887;0.3139;1.1365
PST4+C;4;21;56.3;0.1395;0.8143;0.2723;0.9368
PST4+C;5;21;57.1;0.0923;0.9541;0.2642;1.0613
PST4+C;6;21;54.6;0.0906;0.9664;0.3092;1.205
PST4+C;7;21;51.7;0.0858;0.9475;0.2105;0.774
PST4+C;8;21;69.6;0.1166;1.1358;0.3372;1.3486
C;1;21;59.3;0.1068;0.8522;0.7346;1.2707
C;2;21;51;0.0918;0.8366;0.4548;1.2076
C;3;21;42.5;0.1255;0.6839;0.3462;0.8864
C;4;21;40.4;0.0979;0.7259;0.2045;0.9024
C;5;21;52.2;0.0882;0.8689;0.3701;1.2749
C;6;21;52.4;0.1004;0.8787;0.2968;1.1021
C;7;21;52.3;0.0881;1.0902;0.5611;1.1643
C;8;21;51.7;0.1871;0.8261;0.3457;1.0728
ST;1;21;28.3;0.0944;0.4627;0.0483;0.0517
ST;2;21;37;0.106;0.5556;0.0546;0.0519
ST;3;21;28.2;0.0969;0.5103;0.3642;0.0482
ST;4;21;30.5;0.1042;0.614;0.058;0.0573
ST;5;21;38.1;0.1016;0.7514;0.1679;0.3037
ST;6;21;38.6;0.0967;0.6665;0.1451;0.0786
ST;7;21;50.9;0.1035;0.7072;0.0741;0.2274
ST;8;21;31.5;0.0933;0.599;0.0566;0.0523
